id;name;content_type;content;content_content_type;date_created;last_modified_date
1;Savings;Sri;../fake-data/blob/hipster.png;image/png;2022-02-16T05:48:19;2022-02-16T07:28:49
2;Alabama;Buckinghamshire back-end Legacy;../fake-data/blob/hipster.png;image/png;2022-02-16T07:54:35;2022-02-15T18:38:05
3;maximize primary Pre-emptive;reinvent;../fake-data/blob/hipster.png;image/png;2022-02-16T09:00:02;2022-02-15T17:39:48
4;Tasty Infrastructure Quality;toolset;../fake-data/blob/hipster.png;image/png;2022-02-15T22:27:19;2022-02-15T14:02:30
5;withdrawal;brand deposit;../fake-data/blob/hipster.png;image/png;2022-02-15T18:20:47;2022-02-16T01:14:15
6;Product;withdrawal invoice;../fake-data/blob/hipster.png;image/png;2022-02-16T00:52:50;2022-02-15T11:58:39
7;GB;systems;../fake-data/blob/hipster.png;image/png;2022-02-16T02:18:07;2022-02-16T06:30:50
8;transform;Account;../fake-data/blob/hipster.png;image/png;2022-02-15T23:57:53;2022-02-15T09:52:20
9;Cove;Burg Pike;../fake-data/blob/hipster.png;image/png;2022-02-16T01:43:38;2022-02-15T19:02:50
10;Luxembourg Account;connect;../fake-data/blob/hipster.png;image/png;2022-02-15T19:34:20;2022-02-15T19:49:31
