id;answer;date_created;last_modified_date
1;transmitting green;2022-02-15T20:34:52;2022-02-15T18:39:07
2;feed Rwanda;2022-02-16T08:00:38;2022-02-15T15:48:45
3;Uruguay;2022-02-16T05:18:05;2022-02-15T10:11:27
4;frame Ergonomic;2022-02-15T22:27:15;2022-02-16T07:23:22
5;Passage Investor;2022-02-15T17:47:27;2022-02-16T02:04:59
6;project;2022-02-15T16:20:00;2022-02-16T06:22:13
7;bifurcated;2022-02-16T04:53:31;2022-02-16T00:03:18
8;Bacon;2022-02-16T01:46:48;2022-02-15T13:55:44
9;ivory;2022-02-15T22:42:57;2022-02-16T03:32:39
10;Malaysia;2022-02-15T21:58:03;2022-02-15T13:53:22
