id;total;mark;date_created;last_modified_date
1;93745;6309;2022-02-15T22:35:56;2022-02-15T16:38:18
2;60474;47640;2022-02-15T21:45:06;2022-02-15T21:04:44
3;97481;20989;2022-02-15T20:10:25;2022-02-15T10:10:20
4;27507;23784;2022-02-15T10:02:10;2022-02-16T04:47:04
5;85364;62697;2022-02-16T01:01:34;2022-02-15T21:05:08
6;70304;77010;2022-02-16T03:54:56;2022-02-15T18:46:23
7;50099;92067;2022-02-15T09:54:47;2022-02-15T15:59:52
8;33868;69474;2022-02-15T17:22:26;2022-02-15T10:19:34
9;17575;10859;2022-02-16T01:30:59;2022-02-15T15:50:51
10;94128;79624;2022-02-16T06:42:07;2022-02-15T22:15:22
