id;name;content;picture;picture_content_type;date_created;last_modified_date
1;Bacon;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T01:49:04;2022-02-16T01:04:29
2;Consultant;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T20:07:31;2022-02-16T01:10:01
3;COM Martinique;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T20:09:12;2022-02-15T23:42:25
4;synthesize Manors Developer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T05:51:20;2022-02-15T19:32:56
5;protocol;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T11:26:25;2022-02-15T13:36:12
6;Fields Iowa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T04:22:45;2022-02-16T00:26:10
7;Soft Franc experiences;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T08:46:33;2022-02-16T03:17:40
8;Pines Islands Croatia;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T05:11:11;2022-02-15T11:08:47
9;Infrastructure;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T01:31:21;2022-02-15T20:23:16
10;Cambridgeshire monitor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T08:24:39;2022-02-15T12:30:15
