id;total;mark;date_created;last_modified_date
1;55275;11668;2022-02-15T21:33:29;2022-02-15T15:51:25
2;91318;18635;2022-02-16T00:51:54;2022-02-15T10:02:16
3;64871;65265;2022-02-15T23:54:54;2022-02-15T16:52:57
4;95527;25739;2022-02-15T21:53:44;2022-02-15T18:03:44
5;3859;420;2022-02-15T10:38:46;2022-02-16T08:34:01
6;7147;26815;2022-02-15T12:06:49;2022-02-15T14:17:24
7;19545;78681;2022-02-15T15:10:05;2022-02-15T09:41:33
8;18577;87248;2022-02-15T20:44:07;2022-02-16T00:41:48
9;83153;45858;2022-02-15T19:31:44;2022-02-15T10:51:24
10;2280;5539;2022-02-15T21:55:16;2022-02-16T03:23:28
