id;name;question;answer;explanation;date_created;last_modified_date
1;24/7 Ameliorated;white Oregon;middleware Fully-configurable;../fake-data/blob/hipster.txt;2022-02-15T13:45:36;2022-02-15T18:42:51
2;Granite;architect Shoes;uniform Points;../fake-data/blob/hipster.txt;2022-02-15T21:22:11;2022-02-15T19:41:54
3;open-source Loan;Tools Account;mindshare;../fake-data/blob/hipster.txt;2022-02-15T14:06:13;2022-02-15T13:11:28
4;Legacy Chile JSON;deposit Passage;Account niches;../fake-data/blob/hipster.txt;2022-02-16T05:56:32;2022-02-15T17:29:12
5;Engineer Cape Loan;algorithm tertiary extend;Legacy;../fake-data/blob/hipster.txt;2022-02-15T19:58:09;2022-02-16T01:18:27
6;bandwidth;Rubber;Security synthesizing;../fake-data/blob/hipster.txt;2022-02-15T14:32:51;2022-02-16T06:26:29
7;Gibraltar Fantastic Future;virtual Clothing;payment;../fake-data/blob/hipster.txt;2022-02-15T20:53:17;2022-02-15T16:15:08
8;yellow;integrate Thailand;feed;../fake-data/blob/hipster.txt;2022-02-16T07:46:29;2022-02-16T07:37:19
9;firewall;backing technologies Handmade;magenta XML;../fake-data/blob/hipster.txt;2022-02-15T11:43:37;2022-02-15T18:49:38
10;matrix Account;generation Field repurpose;Mobility Investment Progressive;../fake-data/blob/hipster.txt;2022-02-15T21:13:00;2022-02-16T00:11:40
