id;name;content;picture;picture_content_type;date_created;last_modified_date
1;South compressing Solutions;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T12:49:21;2022-02-16T00:51:41
2;Designer Function-based Plastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T13:26:48;2022-02-16T06:52:20
3;Savings Rustic Turnpike;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T05:21:59;2022-02-15T11:52:22
4;parsing Concrete;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T12:26:24;2022-02-16T02:20:42
5;functionalities Ball pixel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T03:33:09;2022-02-16T04:38:18
6;input Director Ball;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-15T10:50:35;2022-02-16T01:10:33
7;Forward;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T05:41:53;2022-02-16T04:41:45
8;Central extend SMS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T03:29:19;2022-02-16T01:42:46
9;Kuwaiti optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T06:56:14;2022-02-16T07:40:34
10;monitor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2022-02-16T06:03:23;2022-02-15T10:48:34
