id;name;start_date;end_date;language;date_created;last_modified_date
1;Director benchmark standardization;2022-02-16T03:27:02;2022-02-16T05:18:20;ENGLISH;2022-02-15T18:20:17;2022-02-15T11:53:45
2;payment hacking;2022-02-15T18:30:18;2022-02-16T07:09:19;ENGLISH;2022-02-15T20:44:47;2022-02-15T10:19:04
3;Cape haptic;2022-02-15T11:29:39;2022-02-15T21:09:34;VENECULAR;2022-02-15T13:06:23;2022-02-16T03:43:21
4;Savings reboot;2022-02-16T01:23:07;2022-02-16T00:08:37;VENECULAR;2022-02-16T06:28:39;2022-02-15T15:29:29
5;Tennessee deposit;2022-02-15T18:28:31;2022-02-16T00:35:11;VENECULAR;2022-02-16T02:30:10;2022-02-15T13:15:38
6;Integration infrastructures;2022-02-16T06:44:13;2022-02-15T12:33:17;ENGLISH;2022-02-16T05:54:26;2022-02-15T15:50:59
7;Mali calculate;2022-02-15T12:42:43;2022-02-15T15:47:09;ENGLISH;2022-02-15T20:33:43;2022-02-15T16:48:25
8;Kina quantify;2022-02-16T09:18:28;2022-02-16T01:32:24;ENGLISH;2022-02-15T09:40:38;2022-02-15T15:35:56
9;navigating solution;2022-02-15T15:45:46;2022-02-15T19:26:53;VENECULAR;2022-02-16T00:35:12;2022-02-15T14:07:39
10;Bedfordshire;2022-02-15T22:00:48;2022-02-16T07:01:43;ENGLISH;2022-02-15T11:55:04;2022-02-15T18:07:32
