id;topic;content;excerpt;category;date_created;last_modified_date
1;technologies Computer;../fake-data/blob/hipster.txt;hack Tasty internet;SOCIAL;2022-02-15T15:23:04;2022-02-15T23:03:31
2;virtual Small Plastic;../fake-data/blob/hipster.txt;Intuitive;SPORTS;2022-02-15T16:03:40;2022-02-16T01:21:41
3;open invoice synthesizing;../fake-data/blob/hipster.txt;Investment;EDUCATIONAL;2022-02-15T17:34:10;2022-02-15T10:38:07
4;olive;../fake-data/blob/hipster.txt;Orchestrator;SPORTS;2022-02-16T09:03:27;2022-02-15T18:40:54
5;Unbranded Berkshire Loan;../fake-data/blob/hipster.txt;override;SOCIAL;2022-02-16T04:49:23;2022-02-16T01:09:19
6;infomediaries Granite;../fake-data/blob/hipster.txt;integrate back-end;SOCIAL;2022-02-15T15:24:47;2022-02-15T18:56:36
7;e-business;../fake-data/blob/hipster.txt;Cheese global Cotton;SPORTS;2022-02-16T06:14:02;2022-02-16T06:02:52
8;world-class Programmable HDD;../fake-data/blob/hipster.txt;multimedia multimedia;SPORTS;2022-02-15T22:22:55;2022-02-15T17:30:03
9;Forint connect;../fake-data/blob/hipster.txt;Rwanda Investor;EDUCATIONAL;2022-02-15T19:39:52;2022-02-15T12:56:40
10;HTTP stable RAM;../fake-data/blob/hipster.txt;throughput;SOCIAL;2022-02-16T07:16:12;2022-02-16T02:29:16
