id;completed;finish_date;mark;total;date_created;last_modified_date
1;true;2022-02-15T22:44:43;37157;49479;2022-02-15T13:04:41;2022-02-15T22:42:37
2;false;2022-02-15T10:17:12;7360;36591;2022-02-15T19:20:15;2022-02-15T20:01:36
3;true;2022-02-16T06:52:05;81105;33268;2022-02-15T23:23:36;2022-02-15T21:46:35
4;false;2022-02-16T03:07:30;81712;13565;2022-02-16T04:20:27;2022-02-16T06:15:55
5;true;2022-02-15T21:30:57;94440;8099;2022-02-15T23:32:47;2022-02-15T16:58:30
6;false;2022-02-16T06:01:40;86874;85809;2022-02-15T16:00:23;2022-02-15T18:16:41
7;false;2022-02-16T01:39:58;1412;98650;2022-02-15T10:09:53;2022-02-15T18:06:10
8;true;2022-02-15T09:56:26;36926;37056;2022-02-16T06:20:11;2022-02-16T07:03:09
9;true;2022-02-15T21:55:14;94976;18650;2022-02-16T05:25:52;2022-02-15T21:59:35
10;false;2022-02-15T14:17:29;75399;37165;2022-02-16T09:16:47;2022-02-15T12:46:21
