id;name;classfication;level;date_created;last_modified_date
1;Nigeria Sleek;COMMERCIAL;GRADE_7;2022-02-16T02:24:13;2022-02-16T00:11:17
2;Kuna;ARTS;GRADE_5;2022-02-16T07:58:45;2022-02-16T05:31:06
3;EXE;SCIENCE;FORM_3;2022-02-15T10:59:06;2022-02-15T18:48:11
4;overriding Granite;ARTS;FORM_4;2022-02-15T21:03:01;2022-02-15T19:04:53
5;Delaware Unbranded orchid;COMMERCIAL;FORM_6;2022-02-16T07:16:47;2022-02-15T14:43:15
6;methodical Gloves;ARTS;FORM_3;2022-02-15T15:06:20;2022-02-16T07:48:19
7;Global Program Division;ARTS;FORM_2;2022-02-15T19:08:26;2022-02-15T10:58:46
8;Frozen Customer;ARTS;GRADE_5;2022-02-15T13:21:08;2022-02-15T20:09:10
9;RAM proactive wireless;ARTS;GRADE_2;2022-02-16T08:11:32;2022-02-16T05:51:37
10;online Granite Refined;OTHER;FORM_2;2022-02-15T14:54:59;2022-02-16T08:53:59
